<<<<<<< HEAD
date,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2013/1/1,0,0,2,810,0,180.589,0,186,143,71.09,46,29.654999,700,1064.153751,0,0,0,0,0,0,2,5,105,0,110.801,25,0,0,42.637,37.847,0,0,0
2013/1/2,255,0,207,72092,0,26246.319,0,74629,23381,15754.5,10932,7115.388,202020,2525.625034,46,0,0,21,0,0,121,469,2411,0,20871.46403,17204,0,0,13975.88494,5338.111976,0,0,1526.750002
2013/1/3,161,0,125,52105,0,18456.48002,0,55893,18001,11172.455,7358,4760.805009,144878,2098.096318,37,0,0,15,0,0,83,366,2476,0,16597.39811,12568,0,0,10674.39398,3591.388005,0,0,1094.310994
2013/1/4,169,0,133,54167,0,16721.96901,0,52064,18148,10143.209,6760,4525.934004,135754,2081.567601,57,0,0,13,0,0,127,382,4796,0,21625.96306,11303,0,0,10772.51504,4472.96599,0,0,1293.120996
2013/1/5,342,0,191,77818,0,22367.76108,0,70128,23082,13734.94501,8576,5781.60501,188356,2324.038884,87,0,0,11,0,0,180,458,6715,0,20879.09105,16819,0,0,13475.00906,5830.07302,0,0,1245.637004
2013/1/6,360,0,265,86184,0,26861.665,0,74295,23660,16229.26,10933,6114.88201,207297,2357.510167,87,0,0,17,0,0,161,781,0,0,21880.00512,19665,0,0,15921.09698,6233.71499,0,0,1443.776992
2013/1/7,189,0,124,51619,0,17646.151,0,50036,15839,9647.739,6486,3823.622,133189,1897.98145,55,0,0,12,0,0,73,480,1865,0,18314.17508,11205,0,0,10086.556,3638.76199,0,0,947.795999
2013/1/8,229,0,116,46941,0,15805.76402,0,45075,14532,8269.916,5575,3484.745996,133290,1798.452733,57,0,0,9,0,0,96,484,2009,0,16200.31999,12109,0,0,8724.139959,3555.97002,0,0,1038.922001
2013/1/9,164,0,104,47910,0,16002.83002,0,42958,16250,7817.085,5839,3689.604025,115871,1896.924016,38,0,0,11,0,0,129,547,2256,0,19139.78295,9489,0,0,8488.299022,3994.900002,0,0,988.307997
2013/1/10,164,0,96,42390,0,14134.59703,0,38621,13557,7350.518,4652,2878.641998,96200,1525.266726,58,0,0,6,0,0,100,466,2881,0,15144.95004,7584,0,0,7398.100995,3674.29698,0,0,919.898002
2013/1/11,162,0,95,50793,0,14579.76001,0,38550,15639,8098.952,5383,3661.803003,103280,774,48,0,0,12,0,0,166,462,5044,0,20400.72507,7729,0,0,9349.832018,4216.016982,0,0,1293.596002
2013/1/12,280,0,165,72754,0,20311.584,0,56040,20530,11571.687,7360,4587.602998,151025,1064,65,0,0,12,0,0,223,660,7246,0,19029.04702,11617,0,0,11391.51899,5973.948004,0,0,1351.824
2013/1/13,326,0,228,82854,0,25426.017,0,61070,21849,14710.75803,9927,5212.57901,183099,1083,63,0,0,14,0,0,196,914,0,0,20346.38496,14566,0,0,14662.88299,6458.00001,0,0,1632.925999
2013/1/14,162,0,89,50195,0,17028.452,0,41137,14780,8669.634,5948,3309.226,112128,718,31,0,0,4,0,0,71,701,1869,0,15157.17105,8259,0,0,8381.717039,3713.271995,0,0,996.889999
2013/1/15,165,0,110,46604,0,16764.118,0,41274,14908,8709.62299,5680,3185.779996,114578,755,51,0,0,6,0,0,106,612,1855,0,21466.08696,8790,0,0,8715.745979,3801.54603,0,0,992.65
2013/1/16,171,0,139,49122,0,17517.78298,0,45278,17875,8708.053004,6460,3725.715997,124276,704,60,0,0,3,0,0,170,607,2484,0,16758.84696,9366,0,0,9081.146008,4629.745995,0,0,1211.623002
2013/1/17,192,0,116,41646,0,15154.472,0,37144,14384,7954.462004,4895,3006.747999,103443,783,51,0,0,3,0,0,97,552,2603,0,15596.24,7503,0,0,7620.589976,3824.448,0,0,929.5560005
2013/1/18,170,0,89,50245,0,15811.88602,0,40049,16354,8433.41,5658,3418.120991,106982,765,47,0,0,3,0,0,145,686,4872,0,20140.30901,7462,0,0,9281.115986,4261.301016,0,0,1257.707001
2013/1/19,281,0,166,77014,0,21668.79403,0,57508,21939,12823.79101,8388,4806.186009,165079,1161,65,0,0,4,0,0,217,974,7638,0,19438.809,12848,0,0,12669.53494,6256.31304,0,0,1514.423995
2013/1/20,370,0,216,83841,0,25184.16605,0,59823,22377,14488.681,9965,5205.459,180666,1120,93,0,0,3,0,0,178,990,0,0,19616.94404,14703,0,0,14530.793,6094.434965,0,0,1626.908
2013/1/21,189,0,123,51118,0,17811.85197,0,43332,15761,9188.35098,6309,3310.514,122481,742,41,0,0,4,0,0,67,649,1871,0,14964.11804,9067,0,0,9278.286965,3889.237992,0,0,1014.906003
2013/1/22,163,0,106,42931,0,15367.80199,0,44098,14133,7910.383,5284,2985.135,123066,736,52,0,0,0,0,0,120,570,1916,0,14906.88098,9960,0,0,7386.559012,3529.123002,0,0,993.845999
2013/1/23,198,0,86,43549,0,15693.49798,0,39310,15529,7840.609,5730,3434.374011,112342,773,46,0,0,2,0,0,135,652,2052,0,14830.37402,7630,0,0,8236.131007,4092.232015,0,0,1097.235005
2013/1/24,156,0,76,38394,0,14425.08802,0,33314,13177,7438.385,4541,2347.526002,96882,675,26,0,0,2,0,0,54,602,2741,0,14439.947,6254,0,0,7133.687974,3768.988,0,0,798.068999
2013/1/25,177,0,92,46689,0,16561.232,0,39071,16239,8409.391,5748,2918.392003,107648,863,45,0,0,3,0,0,135,546,4797,0,18415.62099,6904,0,0,9472.988986,4141.350956,0,0,1146.795995
2013/1/26,302,0,167,69586,0,21061.09198,0,54997,21641,12596.615,8160,4214.642008,159843,1056,52,0,0,6,0,0,171,778,7127,0,19899.22498,12274,0,0,12336.02,6141.714005,0,0,1390.460005
2013/1/27,332,0,181,70851,0,23905.38303,0,56881,21715,13759.782,9372,4880.221001,172363,991,60,0,0,4,0,0,157,762,0,0,19056.24014,13553,0,0,13938.21405,6208.775008,0,0,1441.376005
2013/1/28,171,0,113,42178,0,16794.32996,0,39750,14698,9047.142,5949,2988.31299,115001,712,32,0,0,2,0,0,39,562,1772,0,14206.66601,8176,0,0,8585.101014,3770.483983,0,0,913.134
2013/1/29,177,0,90,40592,0,14723.319,0,37370,13979,7794.07801,5175,2714.615002,104878,731,60,0,0,1,0,0,69,490,2019,0,14320.17507,7431,0,0,7318.931993,3624.568,0,0,931.1310025
2013/1/30,209,0,95,44583,0,15144.5,0,40999,15792,7721.62998,5570,3217.917,109595,810,65,0,0,3,0,0,114,500,2417,0,13814.12005,7460,0,0,7812.140023,4141.628002,0,0,997.191998
2013/1/31,171,0,114,43078,0,14419.60298,0,37971,13845,8151.108,4783,2721.381996,106030,732,37,0,0,4,0,0,106,559,2731,0,15586.90201,8193,0,0,7515.26502,3582.892988,0,0,923.065002
2013/2/1,254,0,146,56866,0,17346.746,0,52619,18803,10498.301,6918,3712.121998,143725,809,58,0,0,3,0,0,124,546,5307,0,22128.33127,10841,0,0,12681.82704,4699.514965,0,0,1316.212996
2013/2/2,405,0,239,79804,0,23659.7139,0,74849,24619,14902.296,9486,5338.998001,209880,1104,73,0,0,0,0,0,195,804,8444,0,23947.55306,17520,0,0,15624.82681,6484.074946,0,0,1507.999997
2013/2/3,420,0,246,72329,0,22997.431,0,71129,22983,14900.052,10050,5263.059,200916,1191,70,0,0,7,0,0,145,890,0,0,20703.61113,17617,0,0,16522.96403,6346.32202,0,0,1610.380994
2013/2/4,266,0,150,44528,0,17773.102,0,50354,16580,10239.78901,6677,3379.371989,145431,839,50,0,0,1,0,0,64,497,2109,0,18700.97805,11030,0,0,10379.74896,4202.802006,0,0,1056.923003
2013/2/5,269,0,132,42741,0,15931.481,0,47853,15780,9341.83202,6001,3154.338004,136560,792,35,0,0,0,0,0,119,578,2103,0,15899.33105,9921,0,0,9095.463058,3978.725999,0,0,960.667999
2013/2/6,220,0,132,46479,0,16204.95002,0,46676,17152,8654.142,5945,3577.606996,130045,741,41,0,0,3,0,0,161,730,3310,0,18319.30613,9335,0,0,8607.582996,4218.89201,0,0,985.696999
2013/2/7,206,0,108,46000,0,15197.28202,0,41248,14610,8220.53301,5168,2997.557004,115368,799,36,0,0,3,0,0,98,787,3758,0,15303.38494,8018,0,0,8081.044015,3895.96999,0,0,904.759998
2013/2/8,309,0,141,62111,0,17355.07097,0,44114,17588,9627.113,6217,3319.627004,135989,930,43,0,0,3,0,0,142,772,6426,0,18571.68898,8020,0,0,9960.698951,4547.889,0,0,1254.702003
2013/2/9,402,0,177,67626,0,20273.89902,0,54656,21084,12258.346,8167,3833.387008,165328,958,66,0,0,3,0,0,190,986,9897,0,20139.72902,11353,0,0,11998.34501,5689.19601,0,0,1090.377005
2013/2/10,268,0,111,52689,0,15232.682,0,39606,14985,9121.193,5888,2594.465997,116520,738,60,0,0,3,0,0,170,912,7073,0,12895.58501,7945,0,0,9074.26499,4181.216995,0,0,883.920997
2013/2/11,216,0,115,47522,0,14311.96396,0,34940,14945,8548.876006,5665,2789.297,106539,671,49,0,0,1,0,0,161,601,8146,0,12922.622,6600,0,0,8642.55796,4310.345001,0,0,930.926999
2013/2/12,320,0,134,47483,0,16711.43197,0,39825,16735,9745.057,7322,3581.272998,123067,812,56,0,0,3,0,0,151,813,3653,0,14062.628,8351,0,0,10367.13693,4419.013014,0,0,1189.250998
2013/2/13,208,0,107,46575,0,17940.172,0,43666,18255,9255.086,7001,3485.053988,132882,899,39,0,0,1,0,0,162,588,2260,0,14384.17898,8129,0,0,8411.432997,4108.278,0,0,1241.727997
2013/2/14,161,0,80,41366,0,15044.30898,0,36495,15812,8286.059,5245,2679.537998,139200,1046,45,0,0,2,0,0,105,672,4507,0,15119.58001,9666,0,0,7762.873973,3815.695994,0,0,1053.961002
2013/2/15,178,0,104,51659,0,16295.11094,0,45162,17682,9078.757,6393,3286.091002,125907,1037,41,0,0,1,0,0,136,380,955,0,18597.42699,7944,0,0,9649.863978,4277.269005,0,0,1405.364997
2013/2/16,377,0,217,81385,0,24249.319,0,63974,24995,14379.10798,9824,5151.261003,199339,1405,54,0,0,3,0,0,182,506,0,0,23078.066,14350,0,0,13974.86604,6460.580977,0,0,1756.29301
