年,韓国,中国,台湾,米国,香港,タイ,豪州,英国,フィリピン,カナダ,シンガポール,マレーシア,フランス,ドイツ,インドネシア,ベトナム,インド,イタリア,ロシア,ニュージーランド,スペイン,オランダ,ブラジル,スウェーデン,マカオ,スイス,メキシコ,ネパール,ベルギー,フィンランド,イスラエル,モンゴル,デンマーク,オーストリア,アイルランド,スリランカ,ポルトガル,ポーランド,ノルウェー,トルコ,ミャンマー,パキスタン,アルゼンチン,バングラデシュ,ルーマニア,南アフリカ共和国,チェコ,カンボジア,サウジアラビア,ハンガリー,ウクライナ,イラン,ペルー,ギリシャ,コロンビア,チリ,アラブ首長国連邦,ウズベキスタン,エジプト,カザフスタン,リトアニア,ラオス,ブルガリア,アフガニスタン,エストニア,スロバキア,スロベニア,セルビア,クロアチア,クウェート,ベネズエラ,ドミニカ共和国,ラトビア,ケニア,コスタリカ,チュニジア,モロッコ,ブルネイ,ナイジェリア,カタール,ベラルーシ,ルクセンブルク,ヨルダン,ウルグアイ,エクアドル,キルギス,グアテマラ,アイスランド,ガーナ,イラク,フィジー,モーリシャス,ジャマイカ,レバノン,キプロス,パナマ,タンザニア,ウガンダ,アルジェリア,シリア,エチオピア,ボリビア,マルタ,オマーン,アゼルバイジャン,ジョージア,パプアニューギニア,ホンジュラス,カメルーン,スーダン,セネガル,トリニダード・トバゴ,ブータン,キューバ,バーレーン,ザンビア,パラグアイ,ジンバブエ,エルサルバドル,ミクロネシア,コンゴ民主共和国,モザンビーク,パラオ,北マケドニア,タジキスタン,東ティモール,コートジボワール,トルクメニスタン,トンガ,イエメン,アルメニア,マラウイ,パレスチナ,モルディブ,アンゴラ,ボスニア・ヘルツェゴビナ,ニカラグア,マダガスカル,アルバニア,ブルキナファソ,モルドバ,ボツワナ,ルワンダ,リビア,ナミビア,ソロモン,ベナン,サモア,ギニア,北朝鮮,マーシャル,リヒテンシュタイン,バハマ,マリ,セントクリストファー・ネーヴィス,コソボ共和国,バルバドス,アンドラ,モンテネグロ,ガボン,モナコ,ハイチ,バヌアツ,南スーダン共和国,トーゴ,リベリア,スリナム,エスワティニ,キリバス,レソト,ジプチ,シエラレオネ,ニジェール,ガンビア,コンゴ共和国,ブルンジ,ベリーズ,モーリタニア,ガイアナ,サンマリノ,セーシェル,エリトリア,コモロ,ツバル,ドミニカ,チャド,アンティグア・バーブーダ,セントルシア,ソマリア,グレナダ,ナウル,カーボベルデ,セントビンセント,ギニアビサウ,赤道ギニア,中央アフリカ,バチカン,サントメ・プリンシペ,無国籍・その他
1990,740441,105993,607721,554753,152563,74678,56238,101927,108108,63850,43015,57752,51014,65818,41447,1045,27878,29798,24706,,16150,17573,,15648,,,,,8818,8941,7644,,7788,8144,,,,3588,5088,4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,861820,130487,658106,543075,155092,107770,54520,102859,114383,62306,42882,77423,50119,61227,43263,1320,26978,30199,31828,,16554,18044,,14763,,,,,8013,9192,9010,,7806,7957,,,,2182,5263,3175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,864052,183220,715487,560940,177672,97234,59844,104395,105195,69620,40956,60894,48605,63930,40647,1759,26159,26866,26386,21014,13580,18253,41487,14888,189,15237,10045,,7812,7901,8411,,9254,8024,5176,6206,6180,2196,5316,3511,2999,6711,4980,,,3016,1781,198,,0,,14999,15378,3578,2772,1935,,,1861,,,,,,,,,,,,1428,,,,,,,,,,,,,,,,,,,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831
1993,845423,206743,668581,533401,152452,70946,69439,107488,91199,72395,38446,46165,49178,62795,37552,2500,23847,25283,31897,21014,9443,17872,33444,14040,129,15346,9934,0,7790,7734,8155,,8511,8054,5607,4092,6667,2131,5820,3739,2308,5495,4818,0,,2973,1510,239,,0,,3978,10839,3409,3233,1954,,,2078,,,,,,,596,,,,,1531,,,,,,,0,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874
1994,918459,192856,647408,531352,145249,60422,77736,119861,104509,74087,40657,42854,52447,64708,35676,3086,23091,24726,26845,25090,9998,18290,37592,15055,53,15512,8886,2020,8056,7558,6303,,8883,8257,6197,4250,5540,2588,5362,3343,2259,4873,5200,3130,,3093,1841,378,,2785,,3210,9741,3059,3308,1962,,,2338,,,,,,,724,,,,,1206,,,,,,,868,,,,,,,,,,,,,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050
1995,873635,220715,578651,539899,97865,53941,77102,126967,76605,75303,40729,47744,54069,68317,36035,4863,24452,24896,25979,27428,11378,19663,49320,15667,118,17086,7512,2496,8031,7664,6032,,8757,8344,6890,4837,4246,2820,6038,4095,2393,4680,4028,3316,,3202,2320,473,,3542,,2611,5065,2427,3118,2176,,,2253,,,,,,,703,,,,,1244,,,,,,,916,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877
1996,994362,241525,720297,586836,170134,64078,88499,141112,68231,85101,51066,51788,57445,76002,44094,6069,27188,28468,28671,25198,12215,19931,48163,17276,46,16991,8355,3044,8742,7855,6949,,9381,9393,8021,5357,4947,3066,6598,4275,2994,5251,4578,3520,,3225,2561,632,,2900,,2763,2842,2548,2692,2145,,,2201,,,,,,,996,,,,,1212,,,,,,,775,,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802
1997,1010571,260627,820234,621737,265745,60008,101460,165446,82011,94171,61392,54122,61947,82560,49330,7127,32319,30732,32990,27997,11663,22093,31320,19742,40,18742,10058,3070,9560,9254,8240,,9776,10130,10561,6711,5256,3353,7996,4976,2787,6131,4693,3783,,3731,2688,688,,3079,,3511,4295,2804,2717,2486,,,2337,,,,,,,1363,,,,,1564,,,,,,,936,,,,,,,,,,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4331
1998,724445,267180,843088,666700,356861,44827,123681,181533,82346,106884,58817,41225,67102,86194,27441,7433,33298,30553,29722,27709,13754,23501,23136,20243,91,16976,10611,3042,9925,10439,8353,,9520,9936,10710,7644,6909,3771,8393,4687,2552,6308,4875,3506,,3578,3094,709,,3979,,3864,2691,2807,2401,1862,,,2607,,,,,,,1335,,,,,1564,,,,,,,755,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940
1999,942674,294937,931411,697630,252870,55819,135303,182894,93346,106734,67529,52256,70201,87312,43241,8817,35930,30091,25126,28975,12749,24332,15922,20373,73,16605,11015,3062,10824,10722,8735,,9607,9210,10187,7042,7735,4651,7234,4823,2981,6346,3959,3868,,3438,3509,843,,3871,,3866,3466,3171,2408,2103,,,2741,,,,,,,1284,,,,,1579,,,,,,,480,,,,,,,,,,,,,,,,576,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284
